지자체이름,날짜,요일한글,방문객한글,방문자수
전라북도,20210815,일요일,외지인(b),411191 
전라북도,20210816,월요일,외지인(b),302610 
전라북도,20210817,화요일,외지인(b),204964 
전라북도,20210818,수요일,외지인(b),198937 
전라북도,20210819,목요일,외지인(b),201236 
전라북도,20210820,금요일,외지인(b),229051 
전라북도,20210821,토요일,외지인(b),257663 
전라북도,20210822,일요일,외지인(b),273284 
전라북도,20210823,월요일,외지인(b),180495 
전라북도,20210824,화요일,외지인(b),171952 
전라북도,20210825,수요일,외지인(b),183369 
전라북도,20210826,목요일,외지인(b),200018 
전라북도,20210827,금요일,외지인(b),215016 
전라북도,20210828,토요일,외지인(b),311591 
전라북도,20210829,일요일,외지인(b),278040 
전라북도,20210830,월요일,외지인(b),201821 
전라북도,20210901,수요일,외지인(b),134785 
전라북도,20210902,목요일,외지인(b),150378 
전라북도,20210903,금요일,외지인(b),194817 
전라북도,20210904,토요일,외지인(b),318003 
전라북도,20210905,일요일,외지인(b),285173 
전라북도,20210906,월요일,외지인(b),159124 
전라북도,20210907,화요일,외지인(b),155162 
전라북도,20210908,수요일,외지인(b),171847 
전라북도,20210909,목요일,외지인(b),185773 
전라북도,20210910,금요일,외지인(b),215096 
전라북도,20210911,토요일,외지인(b),330400 
전라북도,20210912,일요일,외지인(b),294928 
전라북도,20210913,월요일,외지인(b),188398 
전라북도,20210914,화요일,외지인(b),184240 
전라북도,20210915,수요일,외지인(b),185224 
전라북도,20210916,목요일,외지인(b),191492 
전라북도,20210917,금요일,외지인(b),226622 
전라북도,20210918,토요일,외지인(b),421029 
전라북도,20210919,일요일,외지인(b),597856 
전라북도,20210920,월요일,외지인(b),688314 
전라북도,20210921,화요일,외지인(b),703924 
전라북도,20210922,수요일,외지인(b),419731 
전라북도,20210923,목요일,외지인(b),235991 
전라북도,20210924,금요일,외지인(b),233212 
전라북도,20210925,토요일,외지인(b),304448 
전라북도,20210926,일요일,외지인(b),284732 
전라북도,20210927,월요일,외지인(b),199668 
