도시이름,날짜,요일한글,방문객한글,방문자수
군산시,20210716,금요일,외지인(b),58940 
군산시,20210717,토요일,외지인(b),80525 
군산시,20210718,일요일,외지인(b),72569 
군산시,20210719,월요일,외지인(b),52805 
군산시,20210720,화요일,외지인(b),53669 
군산시,20210721,수요일,외지인(b),55503 
군산시,20210722,목요일,외지인(b),56312 
군산시,20210723,금요일,외지인(b),63595 
군산시,20210724,토요일,외지인(b),84732 
군산시,20210725,일요일,외지인(b),77844 
군산시,20210726,월요일,외지인(b),59749 
군산시,20210727,화요일,외지인(b),58692 
군산시,20210728,수요일,외지인(b),61044 
군산시,20210729,목요일,외지인(b),64355 
군산시,20210730,금요일,외지인(b),73430 
군산시,20210731,토요일,외지인(b),97860 
군산시,20210801,일요일,외지인(b),80045 
군산시,20210802,월요일,외지인(b),67155 
군산시,20210803,화요일,외지인(b),66143 
군산시,20210804,수요일,외지인(b),62069 
군산시,20210805,목요일,외지인(b),62115 
군산시,20210806,금요일,외지인(b),67690 
군산시,20210807,토요일,외지인(b),83664 
군산시,20210808,일요일,외지인(b),73707 
군산시,20210809,월요일,외지인(b),55570 
군산시,20210810,화요일,외지인(b),55486 
군산시,20210811,수요일,외지인(b),56123 
군산시,20210812,목요일,외지인(b),57782 
군산시,20210813,금요일,외지인(b),67529 
군산시,20210814,토요일,외지인(b),97349 
군산시,20210815,일요일,외지인(b),103950 
군산시,20210816,월요일,외지인(b),80539 
군산시,20210817,화요일,외지인(b),55584 
군산시,20210818,수요일,외지인(b),55661 
군산시,20210819,목요일,외지인(b),56697 
군산시,20210820,금요일,외지인(b),63868 
군산시,20210821,토요일,외지인(b),69402 
군산시,20210822,일요일,외지인(b),76143 
군산시,20210823,월요일,외지인(b),49494 
군산시,20210824,화요일,외지인(b),47765 
군산시,20210825,수요일,외지인(b),50344 
군산시,20210826,목요일,외지인(b),57897 
군산시,20210827,금요일,외지인(b),59752 
군산시,20210828,토요일,외지인(b),89313 
군산시,20210829,일요일,외지인(b),79706 
군산시,20210830,월요일,외지인(b),58156 
군산시,20210901,수요일,외지인(b),42035 
군산시,20210902,목요일,외지인(b),47089 
군산시,20210903,금요일,외지인(b),62234 
군산시,20210904,토요일,외지인(b),94143 
군산시,20210905,일요일,외지인(b),83731 
군산시,20210906,월요일,외지인(b),46165 
군산시,20210907,화요일,외지인(b),44870 
군산시,20210908,수요일,외지인(b),51622 
군산시,20210909,목요일,외지인(b),55776 
군산시,20210910,금요일,외지인(b),62815 
군산시,20210911,토요일,외지인(b),93583 
군산시,20210912,일요일,외지인(b),84634 
군산시,20210913,월요일,외지인(b),58706 
군산시,20210914,화요일,외지인(b),54128 
군산시,20210915,수요일,외지인(b),52210 
군산시,20210916,목요일,외지인(b),56074 
군산시,20210917,금요일,외지인(b),62479 
군산시,20210918,토요일,외지인(b),108871 
군산시,20210919,일요일,외지인(b),139640 
군산시,20210920,월요일,외지인(b),152856 
군산시,20210921,화요일,외지인(b),157630 
군산시,20210922,수요일,외지인(b),106950 
군산시,20210923,목요일,외지인(b),64992 
군산시,20210924,금요일,외지인(b),68936 
군산시,20210925,토요일,외지인(b),90108 
군산시,20210926,일요일,외지인(b),85383 
군산시,20210927,월요일,외지인(b),60025 
