도시이름,날짜,요일한글,방문객한글,방문자수
정읍시,20210626,토요일,외지인(b),39928 
정읍시,20210627,일요일,외지인(b),36803 
정읍시,20210628,월요일,외지인(b),24847 
정읍시,20210629,화요일,외지인(b),24437 
정읍시,20210630,수요일,외지인(b),25323 
정읍시,20210701,목요일,외지인(b),21105 
정읍시,20210702,금요일,외지인(b),24126 
정읍시,20210703,토요일,외지인(b),31826 
정읍시,20210704,일요일,외지인(b),28816 
정읍시,20210705,월요일,외지인(b),20629 
정읍시,20210706,화요일,외지인(b),18603 
정읍시,20210707,수요일,외지인(b),17805 
정읍시,20210708,목요일,외지인(b),19929 
정읍시,20210709,금요일,외지인(b),24434 
정읍시,20210710,토요일,외지인(b),34759 
정읍시,20210711,일요일,외지인(b),31882 
정읍시,20210712,월요일,외지인(b),22208 
정읍시,20210713,화요일,외지인(b),22925 
정읍시,20210714,수요일,외지인(b),23807 
정읍시,20210715,목요일,외지인(b),24581 
정읍시,20210716,금요일,외지인(b),27223 
정읍시,20210717,토요일,외지인(b),37457 
정읍시,20210718,일요일,외지인(b),35035 
정읍시,20210719,월요일,외지인(b),24679 
정읍시,20210720,화요일,외지인(b),25774 
정읍시,20210721,수요일,외지인(b),24780 
정읍시,20210722,목요일,외지인(b),25067 
정읍시,20210723,금요일,외지인(b),28655 
정읍시,20210724,토요일,외지인(b),38073 
정읍시,20210725,일요일,외지인(b),36271 
정읍시,20210726,월요일,외지인(b),27409 
정읍시,20210727,화요일,외지인(b),27601 
정읍시,20210728,수요일,외지인(b),27629 
정읍시,20210729,목요일,외지인(b),29474 
정읍시,20210730,금요일,외지인(b),34356 
정읍시,20210731,토요일,외지인(b),43698 
정읍시,20210801,일요일,외지인(b),37016 
정읍시,20210802,월요일,외지인(b),29939 
정읍시,20210803,화요일,외지인(b),28322 
정읍시,20210804,수요일,외지인(b),26632 
정읍시,20210805,목요일,외지인(b),26432 
정읍시,20210806,금요일,외지인(b),29197 
정읍시,20210807,토요일,외지인(b),36834 
정읍시,20210808,일요일,외지인(b),32407 
정읍시,20210809,월요일,외지인(b),24679 
정읍시,20210810,화요일,외지인(b),23783 
정읍시,20210811,수요일,외지인(b),24462 
정읍시,20210812,목요일,외지인(b),25204 
정읍시,20210813,금요일,외지인(b),28588 
정읍시,20210814,토요일,외지인(b),36792 
정읍시,20210815,일요일,외지인(b),38934 
정읍시,20210816,월요일,외지인(b),31252 
정읍시,20210817,화요일,외지인(b),24451 
정읍시,20210818,수요일,외지인(b),23338 
정읍시,20210819,목요일,외지인(b),24133 
정읍시,20210820,금요일,외지인(b),27227 
정읍시,20210821,토요일,외지인(b),27052 
정읍시,20210822,일요일,외지인(b),29978 
정읍시,20210823,월요일,외지인(b),20489 
정읍시,20210824,화요일,외지인(b),19842 
정읍시,20210825,수요일,외지인(b),22754 
정읍시,20210826,목요일,외지인(b),25519 
정읍시,20210827,금요일,외지인(b),23667 
정읍시,20210828,토요일,외지인(b),34825 
정읍시,20210829,일요일,외지인(b),28595 
정읍시,20210830,월요일,외지인(b),24490 
정읍시,20210901,수요일,외지인(b),18078 
정읍시,20210902,목요일,외지인(b),20647 
정읍시,20210903,금요일,외지인(b),25183 
정읍시,20210904,토요일,외지인(b),38175 
정읍시,20210905,일요일,외지인(b),32732 
정읍시,20210906,월요일,외지인(b),20636 
정읍시,20210907,화요일,외지인(b),20776 
정읍시,20210908,수요일,외지인(b),23342 
정읍시,20210909,목요일,외지인(b),24847 
정읍시,20210910,금요일,외지인(b),26964 
정읍시,20210911,토요일,외지인(b),42623 
정읍시,20210912,일요일,외지인(b),36715 
정읍시,20210913,월요일,외지인(b),24532 
정읍시,20210914,화요일,외지인(b),24647 
정읍시,20210915,수요일,외지인(b),24766 
정읍시,20210916,목요일,외지인(b),26226 
정읍시,20210917,금요일,외지인(b),27934 
정읍시,20210918,토요일,외지인(b),47044 
정읍시,20210919,일요일,외지인(b),66546 
정읍시,20210920,월요일,외지인(b),82677 
정읍시,20210921,화요일,외지인(b),92050 
정읍시,20210922,수요일,외지인(b),49137 
정읍시,20210923,목요일,외지인(b),28011 
정읍시,20210924,금요일,외지인(b),27927 
정읍시,20210925,토요일,외지인(b),35333 
정읍시,20210926,일요일,외지인(b),32907 
정읍시,20210927,월요일,외지인(b),25165 
