도시이름,날짜,요일한글,방문객한글,방문자수
전주시 덕진구,20210824,화요일,외지인(b),80549 
전주시 덕진구,20210825,수요일,외지인(b),86426 
전주시 덕진구,20210826,목요일,외지인(b),88221 
전주시 덕진구,20210827,금요일,외지인(b),85292 
전주시 덕진구,20210828,토요일,외지인(b),98210 
전주시 덕진구,20210829,일요일,외지인(b),79100 
전주시 덕진구,20210830,월요일,외지인(b),84459 
전주시 덕진구,20210901,수요일,외지인(b),69108 
전주시 덕진구,20210902,목요일,외지인(b),72408 
전주시 덕진구,20210903,금요일,외지인(b),80791 
전주시 덕진구,20210904,토요일,외지인(b),96887 
전주시 덕진구,20210905,일요일,외지인(b),76549 
전주시 덕진구,20210906,월요일,외지인(b),74669 
전주시 덕진구,20210907,화요일,외지인(b),76220 
전주시 덕진구,20210908,수요일,외지인(b),81298 
전주시 덕진구,20210909,목요일,외지인(b),85358 
전주시 덕진구,20210910,금요일,외지인(b),92768 
전주시 덕진구,20210911,토요일,외지인(b),108350 
전주시 덕진구,20210912,일요일,외지인(b),89369 
전주시 덕진구,20210913,월요일,외지인(b),86968 
전주시 덕진구,20210914,화요일,외지인(b),89989 
전주시 덕진구,20210915,수요일,외지인(b),91375 
전주시 덕진구,20210916,목요일,외지인(b),93331 
전주시 덕진구,20210917,금요일,외지인(b),101451 
전주시 덕진구,20210918,토요일,외지인(b),120869 
전주시 덕진구,20210919,일요일,외지인(b),126154 
전주시 덕진구,20210920,월요일,외지인(b),132391 
전주시 덕진구,20210921,화요일,외지인(b),138331 
전주시 덕진구,20210922,수요일,외지인(b),103915 
전주시 덕진구,20210923,목요일,외지인(b),93583 
전주시 덕진구,20210924,금요일,외지인(b),96954 
전주시 덕진구,20210925,토요일,외지인(b),106397 
전주시 덕진구,20210926,일요일,외지인(b),88858 
전주시 덕진구,20210927,월요일,외지인(b),90664 
