지자체이름,날짜,요일숫자,요일한글,방문객숫자,방문객한글,방문자수
전라북도,20210616,3,수요일,2,외지인(b),174380.5
전라북도,20210617,4,목요일,2,외지인(b),179210.5
전라북도,20210618,5,금요일,2,외지인(b),211347.5
전라북도,20210619,6,토요일,2,외지인(b),336654.5
전라북도,20210620,7,일요일,2,외지인(b),310163
전라북도,20210621,1,월요일,2,외지인(b),189378
전라북도,20210622,2,화요일,2,외지인(b),189147
전라북도,20210623,3,수요일,2,외지인(b),183386
전라북도,20210624,4,목요일,2,외지인(b),192871
전라북도,20210625,5,금요일,2,외지인(b),233838.5
전라북도,20210626,6,토요일,2,외지인(b),342244
전라북도,20210627,7,일요일,2,외지인(b),321776
전라북도,20210628,1,월요일,2,외지인(b),197130.5
전라북도,20210629,2,화요일,2,외지인(b),194551
전라북도,20210630,3,수요일,2,외지인(b),193753
전라북도,20210701,4,목요일,2,외지인(b),152509
전라북도,20210702,5,금요일,2,외지인(b),194274.5
전라북도,20210703,6,토요일,2,외지인(b),268705.5
전라북도,20210704,7,일요일,2,외지인(b),241489.5
전라북도,20210705,1,월요일,2,외지인(b),151676
전라북도,20210706,2,화요일,2,외지인(b),141991.5
전라북도,20210707,3,수요일,2,외지인(b),141991.5
전라북도,20210708,4,목요일,2,외지인(b),151963
전라북도,20210709,5,금요일,2,외지인(b),190347.5
전라북도,20210710,6,토요일,2,외지인(b),284116
전라북도,20210711,7,일요일,2,외지인(b),267099
전라북도,20210712,1,월요일,2,외지인(b),171416
전라북도,20210713,2,화요일,2,외지인(b),173229
전라북도,20210714,3,수요일,2,외지인(b),178591
전라북도,20210715,4,목요일,2,외지인(b),182878.5
전라북도,20210716,5,금요일,2,외지인(b),218823.5
전라북도,20210717,6,토요일,2,외지인(b),312182.5
전라북도,20210718,7,일요일,2,외지인(b),302795.5
전라북도,20210719,1,월요일,2,외지인(b),196850.5
전라북도,20210720,2,화요일,2,외지인(b),197900.5
전라북도,20210721,3,수요일,2,외지인(b),203315
전라북도,20210722,4,목요일,2,외지인(b),210217
전라북도,20210723,5,금요일,2,외지인(b),247229.5
전라북도,20210724,6,토요일,2,외지인(b),340781
전라북도,20210725,7,일요일,2,외지인(b),330781.5
전라북도,20210726,1,월요일,2,외지인(b),236488
전라북도,20210727,2,화요일,2,외지인(b),231644
전라북도,20210728,3,수요일,2,외지인(b),238483
전라북도,20210729,4,목요일,2,외지인(b),258982.5
전라북도,20210730,5,금요일,2,외지인(b),307219.5
전라북도,20210731,6,토요일,2,외지인(b),426863.5
전라북도,20210801,7,일요일,2,외지인(b),367500
전라북도,20210802,1,월요일,2,외지인(b),286398
전라북도,20210803,2,화요일,2,외지인(b),268072
전라북도,20210804,3,수요일,2,외지인(b),246018.5
전라북도,20210805,4,목요일,2,외지인(b),243827.5
전라북도,20210806,5,금요일,2,외지인(b),272153
전라북도,20210807,6,토요일,2,외지인(b),339822
전라북도,20210808,7,일요일,2,외지인(b),306484.5
전라북도,20210809,1,월요일,2,외지인(b),210577.5
전라북도,20210810,2,화요일,2,외지인(b),203745.5
전라북도,20210811,3,수요일,2,외지인(b),207585
전라북도,20210812,4,목요일,2,외지인(b),215544
전라북도,20210813,5,금요일,2,외지인(b),254618
전라북도,20210814,6,토요일,2,외지인(b),367612
전라북도,20210815,7,일요일,2,외지인(b),411190.5
전라북도,20210816,1,월요일,2,외지인(b),302610
전라북도,20210817,2,화요일,2,외지인(b),204963.5
전라북도,20210818,3,수요일,2,외지인(b),198936.5
전라북도,20210819,4,목요일,2,외지인(b),201236
전라북도,20210820,5,금요일,2,외지인(b),229050.5
전라북도,20210821,6,토요일,2,외지인(b),257663
전라북도,20210822,7,일요일,2,외지인(b),273283.5
전라북도,20210823,1,월요일,2,외지인(b),180495
전라북도,20210824,2,화요일,2,외지인(b),171951.5
전라북도,20210825,3,수요일,2,외지인(b),183368.5
